epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,11168.2,1.09888,0.50052,1.16284,0.98404,0.95841,0.98513,0.71004,1.08371,0.371,1.13244,0.003367,0.003367,0.003367
69,11303.5,1.09242,0.4986,1.16205,0.98452,0.9574,0.98496,0.71037,1.08346,0.37043,1.13238,0.003268,0.003268,0.003268
70,11438.4,1.08394,0.49276,1.15981,0.98443,0.95872,0.9852,0.71019,1.08307,0.36984,1.13207,0.003169,0.003169,0.003169
71,11573.4,1.0807,0.49074,1.15568,0.98476,0.95823,0.9851,0.71002,1.08294,0.36964,1.13207,0.00307,0.00307,0.00307
72,11708.7,1.08658,0.49295,1.15904,0.98403,0.95823,0.9847,0.71031,1.08302,0.36924,1.13205,0.002971,0.002971,0.002971
73,11843.5,1.07577,0.48733,1.15224,0.98404,0.95824,0.98473,0.71071,1.08296,0.36871,1.13192,0.002872,0.002872,0.002872
74,11978.7,1.07843,0.48816,1.15047,0.98404,0.95824,0.98465,0.71123,1.08248,0.36865,1.13159,0.002773,0.002773,0.002773
75,12114.2,1.07153,0.48465,1.14742,0.98466,0.95823,0.98463,0.71134,1.08261,0.36833,1.13168,0.002674,0.002674,0.002674
76,12249.6,1.07201,0.48305,1.14787,0.98389,0.95823,0.98469,0.7108,1.08248,0.36782,1.13162,0.002575,0.002575,0.002575
77,12384.5,1.06767,0.47907,1.14841,0.98402,0.95823,0.9847,0.7122,1.08231,0.36774,1.13162,0.002476,0.002476,0.002476
78,12520,1.06249,0.47636,1.14513,0.98472,0.95823,0.98461,0.71173,1.0822,0.36735,1.1316,0.002377,0.002377,0.002377
79,12655.2,1.06258,0.47463,1.14425,0.98478,0.95775,0.9845,0.71164,1.08205,0.36675,1.13159,0.002278,0.002278,0.002278
80,12790.1,1.05892,0.47489,1.14132,0.98502,0.95784,0.98461,0.7118,1.0815,0.36652,1.13135,0.002179,0.002179,0.002179
